Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export,Coffee_Bean_Type
India,111413986,100175702,103168267,121244266,139513344,137245259,180068003,144402152,195899190,212232922,247957971,207877777,194110608,202902246,204743789,155475193,193281019,192976470,183226566,162691441,260451899,311112743,284706803,284599427,296461586,302394591,335879726,360750873,345697492,342190094,6933960000,Arabica
Indonesia,390372965,355874523,261408343,328964219,256736676,218887022,372566273,312421884,317684399,287086529,313921438,291629303,243958813,265117888,299127396,374197051,286077762,227953422,319604638,451190709,300454142,219799702,463286199,504019291,346341525,464241599,356943827,463995378,259855202,370963749,10607940000,Arabica
Jamaica,830385,983349,1272238,1381591,935808,1443686,1498443,1703582,931953,1300183,1663787,1532919,1484584,1380028,1698950,839938,1354945,1246793,1141896,1375122,838730,865060,833535,843088,576738,680346,596897,550850,582124,525949,35220000,Liberica
Kenya,114997816,84166147,77208103,84068972,75724848,79378128,106590363,64455240,45790171,64437089,75031561,60272607,41043650,50249945,41746567,37911029,34903075,45665825,33226551,29264286,30322697,33496352,47153208,44269479,45895509,38812806,40006640,40449072,43670442,48274509,1771380000,Liberica
Lao People's Democratic Republic,5315476,5518580,5987276,8132946,8558438,9410773,7996351,6335706,6144172,10516264,14117295,11362143,15911856,13171737,15338687,13310314,6859942,14797508,14431973,14282397,16171676,24267423,20208622,21716564,21267680,22583088,21354813,22165868,20963740,32930435,457620000,Robusta
Liberia,1206945,0,0,0,0,0,0,0,172436,876966,230990,389516,339037,395815,0,56969,0,108157,111432,509621,383358,438753,169719,230053,54138,225949,175622,636707,464353,58326,7680000,Arabica
Madagascar,49295186,33033408,42765796,36646776,24808306,32110024,41437314,27557554,45051364,26854290,12442730,4923830,8434919,6869203,7282682,5234494,10347512,5359876,10941195,2226566,4140249,7978497,4596064,9518093,7637340,3462402,4139741,3221537,324863,217567,504120000,Arabica
Malawi,6867922,5476536,7067685,5664687,4490482,5380117,3455815,3339424,3422802,3130419,3525974,3499811,2466155,2744558,1418285,1153061,942291,1029506,1220283,999389,433172,1472577,1139882,1648043,1433424,1009197,1204277,748574,671788,921546,83340000,Arabica
Mexico,213215902,197985338,188383349,183836952,160691031,207388631,262440113,246800039,195656727,253257296,310788838,189920145,145998872,145532324,131419085,116106486,144323420,165077370,140495092,160914530,144693229,165243375,197580549,174046007,134584727,138101362,120650774,158017388,161557353,143098422,5628000000,Robusta
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,114935,56605,57566,54646,113995,57124,113114,54398,234783,58360,56695,56319,109188,112631,54175,110237,54451,1560000,Arabica
